,id,name,nationality,sex,date_of_birth,height,weight,sport,gold,silver,bronze
237,112286651,Anna Kielbasinska,POL,female,1990-06-26,1.7,59.0,athletics,0.0,0.0,0.0
239,839118437,Anna Kornuta,UKR,female,1988-11-10,1.68,57.0,athletics,0.0,0.0,0.0
240,759876501,Anna Lunyova,UKR,female,1991-10-01,1.76,60.0,athletics,0.0,0.0,0.0
242,553165489,Anna Titimets,UKR,female,1989-03-05,1.73,63.0,athletics,0.0,0.0,0.0
244,862170739,Anne Holm Baumeister,DEN,female,1987-12-29,1.68,54.0,athletics,0.0,0.0,0.0
246,663634916,Anne Zagre,BEL,female,1990-03-13,1.76,68.0,athletics,0.0,0.0,0.0
247,723096716,Anne-Mari Hyrylainen,FIN,female,1978-08-15,1.68,50.0,athletics,0.0,0.0,0.0
248,869195887,Anneisha McLaughlin-Whilby,JAM,female,1986-01-06,1.7,66.0,athletics,0.0,1.0,0.0
249,428641250,Anneliese Rubie,AUS,female,1992-04-22,1.71,58.0,athletics,0.0,0.0,0.0
253,196922673,Annika Roloff,GER,female,1991-03-10,1.66,58.0,athletics,0.0,0.0,0.0
254,521298946,Annsert Whyte,JAM,male,1987-10-04,1.88,86.0,athletics,0.0,0.0,0.0
255,57200072,Anouk Vetter,NED,female,1993-02-04,1.77,62.0,athletics,0.0,0.0,0.0
256,224127843,Anthonique Strachan,BAH,female,1993-08-22,1.68,57.0,athletics,0.0,0.0,0.0
258,818993615,Anthony Romaniw,CAN,male,1991-09-15,1.8,80.0,athletics,0.0,0.0,0.0
259,575174171,Anthony Zambrano,COL,male,1998-01-17,1.84,72.0,athletics,0.0,0.0,0.0
260,947380759,Antigoni Drisbioti,GRE,female,1984-03-21,1.61,50.0,athletics,0.0,0.0,0.0
261,969463454,Antoine Adams,SKN,male,1988-08-31,1.8,79.0,athletics,0.0,0.0,0.0
263,638759707,Antoine Gakeme,BDI,male,1991-12-24,1.69,60.0,athletics,0.0,0.0,0.0
264,265482075,Antoine Gillet,BEL,male,1988-03-22,1.85,78.0,athletics,0.0,0.0,0.0
265,67909068,Antoinette Nana Djimou Ida,FRA,female,1985-08-02,1.74,69.0,athletics,0.0,0.0,0.0
266,620488948,Anton Kosmac,SLO,male,1976-12-14,1.83,66.0,athletics,0.0,0.0,0.0
267,469779027,Anton Kucmin,SVK,male,1984-06-07,1.8,64.0,athletics,0.0,0.0,0.0
269,972925193,Antonella Palmisano,ITA,female,1991-08-06,1.65,45.0,athletics,0.0,0.0,0.0
270,952687673,Antonio Abadia,ESP,male,1990-07-02,1.7,65.0,athletics,0.0,0.0,0.0
271,946006998,Antonio Alkana,RSA,male,1990-04-12,1.83,76.0,athletics,0.0,0.0,0.0
273,470808417,Antti Ruuskanen,FIN,male,1984-02-21,1.89,86.0,athletics,0.0,0.0,0.0
274,329333328,Antwon Hicks,NGR,male,1983-03-12,1.88,80.0,athletics,0.0,0.0,0.0
275,196778355,Anuradha Indrajith Cooray,SRI,male,1978-03-24,1.74,58.0,athletics,0.0,0.0,0.0
276,500334706,Anyika Onuora,GBR,female,1984-10-28,1.78,76.0,athletics,0.0,0.0,1.0
