,id,name,nationality,sex,date_of_birth,height,weight,sport,gold,silver,bronze
136,757900456,Elisa Longo Borghini,ITA,female,1991-12-10,1.7,59.0,cycling,0.0,0.0,1.0
137,184528790,Elke Vanhoof,BEL,female,1991-12-16,1.63,60.0,cycling,0.0,0.0,0.0
138,322522581,Ellen van Dijk,NED,female,1987-02-11,1.82,71.0,cycling,0.0,0.0,0.0
139,829728385,Emanuel Buchmann,GER,male,1992-11-18,1.81,61.0,cycling,0.0,0.0,0.0
140,43289045,Emilia Fahlin,SWE,female,1988-10-24,1.76,62.0,cycling,0.0,0.0,0.0
141,702824407,Emily Batty,CAN,female,1988-06-16,1.61,48.0,cycling,0.0,0.0,0.0
142,763495268,Emma Hinze,GER,female,1997-09-17,1.68,63.0,cycling,0.0,0.0,0.0
143,87473289,Emma Johansson,SWE,female,1983-09-23,1.68,54.0,cycling,0.0,1.0,0.0
144,493087174,Emma Pooley,GBR,female,1982-10-03,1.57,50.0,cycling,0.0,0.0,0.0
145,370045491,Eri Yonamine,JPN,female,1991-04-25,1.6,51.0,cycling,0.0,0.0,0.0
146,711536725,Ethan Mitchell,NZL,male,1991-02-19,1.8,83.0,cycling,0.0,1.0,0.0
147,810831172,Eva Lechner,ITA,female,1985-07-01,1.65,50.0,cycling,0.0,0.0,0.0
148,176808861,Evelyn Stevens,USA,female,1983-05-09,1.66,55.0,cycling,0.0,0.0,0.0
149,474060754,Evgeny Komarov,RUS,male,1988-11-08,1.75,78.0,cycling,0.0,0.0,0.0
150,940097096,Fabian Cancellara,SUI,male,1981-03-18,1.86,81.0,cycling,1.0,0.0,0.0
151,3921925,Fabian Hernando Puerta Zapata,COL,male,1991-07-12,1.82,90.0,cycling,0.0,0.0,0.0
152,748389052,Fabio Aru,ITA,male,1990-07-03,1.83,65.0,cycling,0.0,0.0,0.0
153,335487444,Fatehah Mustapa,MAS,female,1989-03-12,1.63,64.0,cycling,0.0,0.0,0.0
154,392897095,Fernando Gaviria Rendon,COL,male,1994-08-19,1.8,70.0,cycling,0.0,0.0,0.0
155,14229029,Filippo Ganna,ITA,male,1996-07-25,1.95,75.0,cycling,0.0,0.0,0.0
156,933661571,Flavia Oliveira,BRA,female,1981-10-27,1.56,46.0,cycling,0.0,0.0,0.0
157,861278504,Francelina Cabral,TLS,female,1985-03-23,1.65,67.75510204081633,cycling,0.0,0.0,0.0
158,535720666,Francesca Pattaro,ITA,female,1995-03-12,1.7,58.0,cycling,0.0,0.0,0.0
159,720788958,Francesco Lamon,ITA,male,1994-02-05,1.73,60.0,cycling,0.0,0.0,0.0
160,410698560,Francois Pervis,FRA,male,1984-10-16,1.8,88.0,cycling,0.0,0.0,1.0
161,715378085,Frank Schleck,LUX,male,1980-04-15,1.85,63.0,cycling,0.0,0.0,0.0
162,675256468,Frederik Madsen,DEN,male,1998-01-22,1.87,73.0,cycling,0.0,0.0,1.0
163,902039181,Gael Suter,SUI,male,1992-03-23,1.76,70.0,cycling,0.0,0.0,0.0
164,656968895,Ganna Solovei,UKR,female,1992-01-31,1.67,56.0,cycling,0.0,0.0,0.0
165,814234541,Georg Preidler,AUT,male,1990-06-17,1.89,70.0,cycling,0.0,0.0,0.0
166,378090753,George Bennett,NZL,male,1990-04-07,1.81,58.0,cycling,0.0,0.0,0.0
167,974930725,Georgia Baker,AUS,female,1994-09-21,1.79,66.0,cycling,0.0,0.0,0.0
168,405138190,Georgia Simmerling,CAN,female,1989-03-11,1.72,67.0,cycling,0.0,0.0,1.0
169,304591948,Georgia Williams,NZL,female,1993-08-25,1.7,60.0,cycling,0.0,0.0,0.0
170,679229547,Geraint Thomas,GBR,male,1986-05-25,1.83,70.0,cycling,0.0,0.0,0.0
171,962431612,Ghader Mizbani Iranagh,IRI,male,1975-12-06,1.75,67.0,cycling,0.0,0.0,0.0
172,425384574,Gideoni Monteiro,BRA,male,1989-09-02,1.8,77.0,cycling,0.0,0.0,0.0
173,980482855,Giorgia Bronzini,ITA,female,1983-08-03,1.6,54.0,cycling,0.0,0.0,0.0
174,994296683,Githa Michiels,BEL,female,1983-03-28,1.66,60.0,cycling,0.0,0.0,0.0
175,344080952,Glenn O'Shea,AUS,male,1989-06-14,1.8,76.0,cycling,0.0,0.0,0.0
176,124979010,Gonzalo Molina,ARG,male,1995-05-05,1.78,83.0,cycling,0.0,0.0,0.0
177,893023802,Gracie Elvin,AUS,female,1988-10-31,1.75,65.0,cycling,0.0,0.0,0.0
178,104640408,Grant Ferguson,GBR,male,1993-11-15,1.86,64.0,cycling,0.0,0.0,0.0
179,503615176,Greg van Avermaet,BEL,male,1985-05-17,1.81,74.0,cycling,1.0,0.0,0.0
180,160584680,Gregory Bauge,FRA,male,1985-01-31,1.81,100.0,cycling,0.0,0.0,1.0
181,511096047,Gudrun Stock,GER,female,1995-05-23,1.68,62.0,cycling,0.0,0.0,0.0
182,504342645,Gunn-Rita Dahle Flesjaa,NOR,female,1973-02-10,1.7466260162601637,67.75510204081633,cycling,0.0,0.0,0.0
183,955199694,Hao Liu,CHN,male,1988-11-07,1.89,79.0,cycling,0.0,0.0,0.0
184,927855997,Hayden Roulston,NZL,male,1981-01-10,1.86,78.0,cycling,0.0,0.0,0.0
185,77008314,Helen Grobert,GER,female,1992-04-11,1.75,58.0,cycling,0.0,0.0,0.0
186,707272550,Helena Casas Roige,ESP,female,1988-07-24,1.63,63.0,cycling,0.0,0.0,0.0
187,280401602,Henning Bommel,GER,male,1983-02-23,1.83,79.0,cycling,0.0,0.0,0.0
188,683131991,Henrique Avancini,BRA,male,1989-03-30,1.76,67.0,cycling,0.0,0.0,0.0
189,875801164,Hersony Canelon,VEN,male,1988-12-08,1.76,73.0,cycling,0.0,0.0,0.0
190,426998976,Howard Grotts,USA,male,1993-01-12,1.71,58.0,cycling,0.0,0.0,0.0
191,743741137,Hugo Barrette,CAN,male,1991-07-04,1.75,90.0,cycling,0.0,0.0,0.0
192,823618365,Hugo Houle,CAN,male,1990-09-27,1.83,69.0,cycling,0.0,0.0,0.0
193,328642843,Hyejin Lee,KOR,female,1992-01-23,1.65,61.0,cycling,0.0,0.0,0.0
194,224119413,Ian Stannard,GBR,male,1987-05-25,1.91,80.0,cycling,0.0,0.0,0.0
195,212081217,Ignacio Prado,MEX,male,1993-09-21,1.78,65.0,cycling,0.0,0.0,0.0
196,317258255,Ignatas Konovalovas,LTU,male,1985-12-08,1.9,75.0,cycling,0.0,0.0,0.0
197,186497946,Imanol Erviti Ollo,ESP,male,1983-11-15,1.9,80.0,cycling,0.0,0.0,0.0
198,557528943,Ioannis Tamouridis,GRE,male,1980-06-03,1.8,73.0,cycling,0.0,0.0,0.0
199,557552346,Irina Kalentyeva,RUS,female,1977-11-10,1.55,45.0,cycling,0.0,0.0,0.0
200,413999687,Iryna Popova,UKR,female,1991-05-27,1.64,53.0,cycling,0.0,0.0,0.0
201,150785655,Ivan Stevic,SRB,male,1980-03-12,1.72,68.0,cycling,0.0,0.0,0.0
202,579353978,Jack Bobridge,AUS,male,1989-07-13,1.8,65.0,cycling,0.0,1.0,0.0
203,863481965,Jaime Nielsen,NZL,female,1985-09-03,1.77,70.0,cycling,0.0,0.0,0.0
204,833814609,Jakob Fuglsang,DEN,male,1985-03-22,1.83,69.0,cycling,0.0,1.0,0.0
205,964836144,James Reid,RSA,male,1992-08-01,1.8,70.0,cycling,0.0,0.0,0.0
206,621534555,Jan Barta,CZE,male,1984-12-07,1.84,75.0,cycling,0.0,0.0,0.0
207,33776196,Jan Polanc,SLO,male,1992-05-06,1.72,60.0,cycling,0.0,0.0,0.0
208,860104103,Jan Skarnitzl,CZE,male,1986-07-11,1.79,68.0,cycling,0.0,0.0,0.0
209,726313430,Jan-Willem van Schip,NED,male,1994-08-20,1.94,83.0,cycling,0.0,0.0,0.0
210,797374623,Jarlinson Pantano Gomez,COL,male,1988-11-19,1.7466260162601637,67.75510204081633,cycling,0.0,0.0,0.0
211,167236182,Jaroslav Kulhavy,CZE,male,1985-01-08,1.88,77.0,cycling,0.0,1.0,0.0
212,489559768,Jasmin Glaesser,CAN,female,1992-07-08,1.67,58.0,cycling,0.0,0.0,1.0
213,441111357,Jason Kenny,GBR,male,1988-03-23,1.78,81.0,cycling,3.0,0.0,0.0
214,662058490,Jasper De Buyst,BEL,male,1993-11-24,1.78,69.0,cycling,0.0,0.0,0.0
215,989207170,Jefferson Milano,VEN,male,1995-11-21,1.85,85.0,cycling,0.0,0.0,0.0
216,470772822,Jeffrey Hoogland,NED,male,1993-03-16,1.85,97.0,cycling,0.0,0.0,0.0
217,763826075,Jelle van Gorkom,NED,male,1991-01-05,1.87,93.0,cycling,0.0,1.0,0.0
